season,team_alias,team_basket,player_full_name,event_coord_x,event_coord_y,event_type,type,shot_made,shot_type,shot_subtype,three_point_shot,points_scored
2014,UNC,left,Justin Jackson,92.0,318.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Marcus Paige,1009.0,317.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Isaiah Hicks,109.0,288.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2014,UNC,left,Isaiah Hicks,72.0,291.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2014,UNC,left,Isaiah Hicks,67.0,320.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Justin Jackson,78.0,286.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Kennedy Meeks,116.0,314.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Brice Johnson,113.0,286.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Brice Johnson,72.0,267.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Brice Johnson,1038.0,321.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Nate Britt,77.0,273.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Marcus Paige,77.0,320.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Justin Jackson,194.0,296.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,left,Kennedy Meeks,82.0,273.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,left,Theo Pinson,77.0,277.0,twopointmade,fieldgoal,true,tip shot,,false,2.0
2016,UNC,left,Tony Bradley,113.0,300.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,left,Theo Pinson,87.0,294.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Theo Pinson,75.0,267.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,right,Isaiah Hicks,1048.0,320.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Isaiah Hicks,81.0,318.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Kennedy Meeks,68.0,462.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,left,Kennedy Meeks,77.0,324.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Justin Jackson,95.0,263.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Nate Britt,102.0,267.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Kennedy Meeks,72.0,341.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Marcus Paige,61.0,510.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,right,Brice Johnson,1041.0,272.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Justin Jackson,178.0,301.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,right,Kennedy Meeks,1035.0,314.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,left,Kennedy Meeks,75.0,262.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,left,Isaiah Hicks,81.0,432.0,twopointmade,fieldgoal,true,jump shot,fadeaway,false,2.0
2016,UNC,left,Kennedy Meeks,89.0,332.0,twopointmade,fieldgoal,true,tip shot,,false,2.0
2016,UNC,right,Joel Berry II,1030.0,277.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2014,UNC,right,Kennedy Meeks,1010.0,297.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2014,UNC,right,Joel Berry II,1024.0,255.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Isaiah Hicks,1024.0,338.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Joel James,81.0,349.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Isaiah Hicks,1045.0,325.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Kennedy Meeks,997.0,287.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Justin Jackson,916.0,355.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,right,Brice Johnson,1026.0,322.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,J.P. Tokoto,935.0,238.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Brice Johnson,77.0,304.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Kennedy Meeks,95.0,310.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Brice Johnson,1026.0,390.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,right,Kennedy Meeks,1035.0,267.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Isaiah Hicks,1038.0,298.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Justin Jackson,1061.0,311.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Joel Berry II,256.0,190.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,J.P. Tokoto,67.0,329.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2014,UNC,left,J.P. Tokoto,103.0,297.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Brice Johnson,976.0,272.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,J.P. Tokoto,237.0,280.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,right,Kennedy Meeks,1024.0,281.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Brice Johnson,141.0,312.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Joel James,108.0,250.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,right,Brice Johnson,1047.0,133.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Justin Jackson,116.0,336.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,right,Theo Pinson,1055.0,317.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2014,UNC,left,Marcus Paige,78.0,269.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Nate Britt,1045.0,327.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Kennedy Meeks,1042.0,328.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Joel Berry II,997.0,342.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,right,J.P. Tokoto,1019.0,281.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Nate Britt,94.0,301.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Justin Jackson,897.0,418.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Desmond Hubert,74.0,274.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2014,UNC,right,Kennedy Meeks,1061.0,277.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Justin Jackson,1057.0,328.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,J.P. Tokoto,237.0,325.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,left,Brice Johnson,85.0,238.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,right,Nate Britt,1062.0,359.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Brice Johnson,116.0,269.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,right,Isaiah Hicks,1055.0,320.0,twopointmade,fieldgoal,true,dunk,,false,2.0
